Specimen[mm];Point 1 x;Point 1 y;Point 1 z;Point 2 x;Point 2 y;Point 2 z;Point 3 x;Point 3 y;Point 3 z;Point 4 x;Point 4 y;Point 4 z;Point 5 x;Point 5 y;Point 5 z;Point 6 x;Point 6 y;Point 6 z;Point 7 x;Point 7 y;Point 7 z;Point 8 x;Point 8 y;Point 8 z;Point 9 x;Point 9 y;Point 9 z;Point 10 x;Point 10 y;Point 10 z;Point 11 x;Point 11 y;Point 11 z;C.12.02 x;C.12.02 y;C.12.02 z;C.12.03 x;C.12.03 y;C.12.03 z;C.12.04 x;C.12.04 y;C.12.04 z;C.12.05 x;C.12.05 y;C.12.05 z;C.12.06 x;C.12.06 y;C.12.06 z;C.12.07 x;C.12.07 y;C.12.07 z;C.12.08 x;C.12.08 y;C.12.08 z;C.12.10 x;C.12.10 y;C.12.10 z;C.12.11 x;C.12.11 y;C.12.11 z;C.12.12 x;C.12.12 y;C.12.12 z;C.12.13 x;C.12.13 y;C.12.13 z;C.12.14 x;C.12.14 y;C.12.14 z;C.12.15 x;C.12.15 y;C.12.15 z;C.12.16 x;C.12.16 y;C.12.16 z;C.12.18 x;C.12.18 y;C.12.18 z;C.12.20 x;C.12.20 y;C.12.20 z;C.12.21 x;C.12.21 y;C.12.21 z;C.12.22 x;C.12.22 y;C.12.22 z;C.12.23 x;C.12.23 y;C.12.23 z;C.12.24 x;C.12.24 y;C.12.24 z;C.12.25 x;C.12.25 y;C.12.25 z;C.12.26 x;C.12.26 y;C.12.26 z;C.12.27 x;C.12.27 y;C.12.27 z;C.12.28 x;C.12.28 y;C.12.28 z;C.12.29 x;C.12.29 y;C.12.29 z;C.12.30 x;C.12.30 y;C.12.30 z;C.12.32 x;C.12.32 y;C.12.32 z;C.12.33 x;C.12.33 y;C.12.33 z;C.12.34 x;C.12.34 y;C.12.34 z;C.12.35 x;C.12.35 y;C.12.35 z;C.12.36 x;C.12.36 y;C.12.36 z;C.12.38 x;C.12.38 y;C.12.38 z;C.12.39 x;C.12.39 y;C.12.39 z;C.12.40 x;C.12.40 y;C.12.40 z;C.12.41 x;C.12.41 y;C.12.41 z;C.12.42 x;C.12.42 y;C.12.42 z;C.12.43 x;C.12.43 y;C.12.43 z;C.12.44 x;C.12.44 y;C.12.44 z;C.12.45 x;C.12.45 y;C.12.45 z;C.12.46 x;C.12.46 y;C.12.46 z;C.12.48 x;C.12.48 y;C.12.48 z;C.12.49 x;C.12.49 y;C.12.49 z;C.12.50 x;C.12.50 y;C.12.50 z;C.12.51 x;C.12.51 y;C.12.51 z;C.12.52 x;C.12.52 y;C.12.52 z;C.12.53 x;C.12.53 y;C.12.53 z;C.12.54 x;C.12.54 y;C.12.54 z;C.12.55 x;C.12.55 y;C.12.55 z;C.12.56 x;C.12.56 y;C.12.56 z;C.12.57 x;C.12.57 y;C.12.57 z;C.12.58 x;C.12.58 y;C.12.58 z;C.12.59 x;C.12.59 y;C.12.59 z;C.12.60 x;C.12.60 y;C.12.60 z;C.12.61 x;C.12.61 y;C.12.61 z;C.12.62 x;C.12.62 y;C.12.62 z;C.12.63 x;C.12.63 y;C.12.63 z;C.12.64 x;C.12.64 y;C.12.64 z;C.12.65 x;C.12.65 y;C.12.65 z;C.12.66 x;C.12.66 y;C.12.66 z;C.12.67 x;C.12.67 y;C.12.67 z;C.12.68 x;C.12.68 y;C.12.68 z;C.12.69 x;C.12.69 y;C.12.69 z;C.12.70 x;C.12.70 y;C.12.70 z;C.12.71 x;C.12.71 y;C.12.71 z;C.12.72 x;C.12.72 y;C.12.72 z;C.12.73 x;C.12.73 y;C.12.73 z;C.12.74 x;C.12.74 y;C.12.74 z;C.12.75 x;C.12.75 y;C.12.75 z;C.12.76 x;C.12.76 y;C.12.76 z;C.12.77 x;C.12.77 y;C.12.77 z;C.12.78 x;C.12.78 y;C.12.78 z;C.12.79 x;C.12.79 y;C.12.79 z;C.12.80 x;C.12.80 y;C.12.80 z;C.13.02 x;C.13.02 y;C.13.02 z;C.13.03 x;C.13.03 y;C.13.03 z;C.13.04 x;C.13.04 y;C.13.04 z;C.13.05 x;C.13.05 y;C.13.05 z;C.13.06 x;C.13.06 y;C.13.06 z;C.13.07 x;C.13.07 y;C.13.07 z;C.13.08 x;C.13.08 y;C.13.08 z;C.13.09 x;C.13.09 y;C.13.09 z;C.13.10 x;C.13.10 y;C.13.10 z;C.13.11 x;C.13.11 y;C.13.11 z;C.13.12 x;C.13.12 y;C.13.12 z;C.13.13 x;C.13.13 y;C.13.13 z;C.13.14 x;C.13.14 y;C.13.14 z;C.13.15 x;C.13.15 y;C.13.15 z;C.13.16 x;C.13.16 y;C.13.16 z;C.13.17 x;C.13.17 y;C.13.17 z;C.13.18 x;C.13.18 y;C.13.18 z;C.13.20 x;C.13.20 y;C.13.20 z;C.13.21 x;C.13.21 y;C.13.21 z;C.13.22 x;C.13.22 y;C.13.22 z;C.13.23 x;C.13.23 y;C.13.23 z;C.13.24 x;C.13.24 y;C.13.24 z;C.13.25 x;C.13.25 y;C.13.25 z;C.13.26 x;C.13.26 y;C.13.26 z;C.13.27 x;C.13.27 y;C.13.27 z;C.13.28 x;C.13.28 y;C.13.28 z;C.13.29 x;C.13.29 y;C.13.29 z;C.13.30 x;C.13.30 y;C.13.30 z;C.13.31 x;C.13.31 y;C.13.31 z;C.13.32 x;C.13.32 y;C.13.32 z;C.13.33 x;C.13.33 y;C.13.33 z;C.13.34 x;C.13.34 y;C.13.34 z;C.13.35 x;C.13.35 y;C.13.35 z;C.13.36 x;C.13.36 y;C.13.36 z;C.13.37 x;C.13.37 y;C.13.37 z;C.13.38 x;C.13.38 y;C.13.38 z;C.13.39 x;C.13.39 y;C.13.39 z;P.14.1.2 x;P.14.1.2 y;P.14.1.2 z;P.14.1.3 x;P.14.1.3 y;P.14.1.3 z;P.14.1.4 x;P.14.1.4 y;P.14.1.4 z;P.14.1.5 x;P.14.1.5 y;P.14.1.5 z;P.14.1.6 x;P.14.1.6 y;P.14.1.6 z;P.14.1.7 x;P.14.1.7 y;P.14.1.7 z;P.14.1.8 x;P.14.1.8 y;P.14.1.8 z;P.14.2.1 x;P.14.2.1 y;P.14.2.1 z;P.14.2.2 x;P.14.2.2 y;P.14.2.2 z;P.14.2.3 x;P.14.2.3 y;P.14.2.3 z;P.14.2.4 x;P.14.2.4 y;P.14.2.4 z;P.14.2.5 x;P.14.2.5 y;P.14.2.5 z;P.14.2.6 x;P.14.2.6 y;P.14.2.6 z;P.14.2.7 x;P.14.2.7 y;P.14.2.7 z;P.14.2.8 x;P.14.2.8 y;P.14.2.8 z;P.14.2.9 x;P.14.2.9 y;P.14.2.9 z;P.14.3.1 x;P.14.3.1 y;P.14.3.1 z;P.14.3.2 x;P.14.3.2 y;P.14.3.2 z;P.14.3.3 x;P.14.3.3 y;P.14.3.3 z;P.14.3.4 x;P.14.3.4 y;P.14.3.4 z;P.14.3.5 x;P.14.3.5 y;P.14.3.5 z;P.14.3.6 x;P.14.3.6 y;P.14.3.6 z;P.14.3.7 x;P.14.3.7 y;P.14.3.7 z;P.14.3.8 x;P.14.3.8 y;P.14.3.8 z;P.14.3.9 x;P.14.3.9 y;P.14.3.9 z;P.14.4.1 x;P.14.4.1 y;P.14.4.1 z;P.14.4.2 x;P.14.4.2 y;P.14.4.2 z;P.14.4.3 x;P.14.4.3 y;P.14.4.3 z;P.14.4.4 x;P.14.4.4 y;P.14.4.4 z;P.14.4.5 x;P.14.4.5 y;P.14.4.5 z;P.14.4.6 x;P.14.4.6 y;P.14.4.6 z;P.14.4.7 x;P.14.4.7 y;P.14.4.7 z;P.14.4.8 x;P.14.4.8 y;P.14.4.8 z;P.14.4.9 x;P.14.4.9 y;P.14.4.9 z;P.14.5.1 x;P.14.5.1 y;P.14.5.1 z;P.14.5.2 x;P.14.5.2 y;P.14.5.2 z;P.14.5.3 x;P.14.5.3 y;P.14.5.3 z;P.14.5.4 x;P.14.5.4 y;P.14.5.4 z;P.14.5.5 x;P.14.5.5 y;P.14.5.5 z;P.14.5.6 x;P.14.5.6 y;P.14.5.6 z;P.14.5.7 x;P.14.5.7 y;P.14.5.7 z;P.14.5.8 x;P.14.5.8 y;P.14.5.8 z;P.14.5.9 x;P.14.5.9 y;P.14.5.9 z;P.14.6.1 x;P.14.6.1 y;P.14.6.1 z;P.14.6.2 x;P.14.6.2 y;P.14.6.2 z;P.14.6.3 x;P.14.6.3 y;P.14.6.3 z;P.14.6.4 x;P.14.6.4 y;P.14.6.4 z;P.14.6.5 x;P.14.6.5 y;P.14.6.5 z;P.14.6.6 x;P.14.6.6 y;P.14.6.6 z;P.14.6.7 x;P.14.6.7 y;P.14.6.7 z;P.14.6.8 x;P.14.6.8 y;P.14.6.8 z;P.14.6.9 x;P.14.6.9 y;P.14.6.9 z;P.14.7.1 x;P.14.7.1 y;P.14.7.1 z;P.14.7.2 x;P.14.7.2 y;P.14.7.2 z;P.14.7.3 x;P.14.7.3 y;P.14.7.3 z;P.14.7.4 x;P.14.7.4 y;P.14.7.4 z;P.14.7.5 x;P.14.7.5 y;P.14.7.5 z;P.14.7.6 x;P.14.7.6 y;P.14.7.6 z;P.14.7.7 x;P.14.7.7 y;P.14.7.7 z;P.14.7.8 x;P.14.7.8 y;P.14.7.8 z;P.14.7.9 x;P.14.7.9 y;P.14.7.9 z;P.14.8.1 x;P.14.8.1 y;P.14.8.1 z;P.14.8.2 x;P.14.8.2 y;P.14.8.2 z;P.14.8.3 x;P.14.8.3 y;P.14.8.3 z;P.14.8.4 x;P.14.8.4 y;P.14.8.4 z;P.14.8.5 x;P.14.8.5 y;P.14.8.5 z;P.14.8.6 x;P.14.8.6 y;P.14.8.6 z;P.14.8.7 x;P.14.8.7 y;P.14.8.7 z;P.14.8.8 x;P.14.8.8 y;P.14.8.8 z;P.14.8.9 x;P.14.8.9 y;P.14.8.9 z;P.14.9.2 x;P.14.9.2 y;P.14.9.2 z;P.14.9.3 x;P.14.9.3 y;P.14.9.3 z;P.14.9.4 x;P.14.9.4 y;P.14.9.4 z;P.14.9.5 x;P.14.9.5 y;P.14.9.5 z;P.14.9.6 x;P.14.9.6 y;P.14.9.6 z;P.14.9.7 x;P.14.9.7 y;P.14.9.7 z;P.14.9.8 x;P.14.9.8 y;P.14.9.8 z
LBOAWK001;-6.343391;9.747119;14.609710;-6.709190;7.961559;11.341209;-7.442596;13.584470;7.643649;-3.365564;14.175880;-6.175140;-0.352430;2.270866;-1.290485;11.373720;19.682550;-5.441204;15.591110;16.024130;-0.257107;9.597460;-3.216709;2.891582;14.886850;9.217581;10.457701;13.905020;0.541492;15.788589;12.896791;-5.062731;7.074298;-7.540477;17.298670;6.517344;-7.363850;20.155821;3.894618;-8.011901;21.082130;0.522146;-8.432755;20.495050;-2.960726;-8.098008;18.815639;-5.941781;-6.644905;16.017309;-7.311928;-5.047218;14.645300;-7.353355;-1.921698;15.558520;-4.799732;-0.538492;17.082520;-3.514275;0.972737;17.574810;-1.890915;2.957125;17.830799;-0.814842;5.268490;18.417150;-0.699849;7.294441;18.754440;-1.916739;8.893906;18.977230;-4.251977;13.409280;18.662050;-2.218939;14.667410;13.848351;-0.517381;13.875060;12.222400;-2.061268;13.607720;10.924530;-2.641596;13.426909;9.530109;-2.981789;13.307550;7.820960;-3.213967;13.190909;6.096128;-3.188822;13.029031;4.043379;-2.913401;12.731810;2.082920;-2.293649;12.285470;0.430749;-1.423986;11.728760;-1.129561;-0.453986;10.818290;-2.616236;1.041284;9.579725;-3.313639;3.675831;9.908987;-3.505673;4.368277;10.567150;-4.098636;5.346364;11.401200;-4.748465;6.136003;12.139979;-4.889013;6.625067;12.982930;-5.333915;7.537498;12.932090;-5.567658;8.025661;12.988640;-5.802479;9.068509;13.065940;-5.798465;10.136160;13.367190;-5.481856;11.316939;13.675719;-4.962121;12.421480;13.867001;-4.151415;13.873281;13.905450;-2.964628;15.052900;14.045900;-1.257571;15.640000;13.878719;0.729096;15.824580;13.850090;0.917891;15.851399;13.744310;2.235424;16.045111;13.600110;3.563195;16.073969;13.184561;4.880358;15.584840;12.960051;6.194631;14.977310;12.922220;7.080787;14.308559;13.094420;7.859302;13.535130;13.374670;8.128376;12.752251;13.686939;8.316056;11.957809;14.446270;8.542644;11.146450;14.887100;9.266781;10.393120;14.766060;10.205441;10.714850;14.701880;11.050310;11.245260;14.693680;12.471020;11.571680;14.720510;13.922410;11.704850;14.736190;15.139680;11.557100;14.685530;16.322060;11.235790;14.581209;17.776310;10.724520;14.333130;19.209270;10.202661;13.344010;20.472641;9.546517;12.545820;21.844219;8.848932;12.483320;22.870441;7.365055;12.684140;23.507650;5.687953;12.856530;23.767719;4.185174;12.988600;23.795879;2.656244;12.904840;23.709358;1.268575;12.782230;23.493891;-0.102067;12.718240;23.085661;-1.423169;12.583261;22.473209;-2.657142;12.412749;21.860010;-3.645105;12.131190;21.110519;-4.505367;11.805880;20.431660;-5.070130;-3.847782;16.550739;-6.069185;-4.421827;18.807650;-5.390343;-4.796355;20.708941;-3.931427;-4.829810;22.128050;-2.068899;-4.691579;23.096760;0.058667;-4.578697;23.505299;2.361801;-4.621538;23.433071;4.296987;-4.711080;22.882730;6.152017;-4.804041;21.976130;7.861246;-4.913636;20.945570;9.170238;-5.021366;19.643280;10.209460;-5.093033;18.181780;11.013470;-5.123152;16.674711;11.504591;-5.227660;15.148180;11.919499;-5.428917;13.672561;12.463011;-5.659274;12.302960;13.092760;-5.997929;11.029449;13.860189;-5.676118;8.531488;14.270559;-5.541724;7.123767;14.466010;-6.265797;6.012233;14.993510;-6.624640;4.657879;15.492580;-6.562592;3.208277;15.819779;-6.514193;1.721851;15.798180;-6.468984;0.237173;15.590469;-6.386758;-1.192920;15.146070;-6.390270;-2.523867;14.454710;-6.553906;-3.723043;13.199500;-6.765484;-4.640393;11.731830;-6.892174;-5.269320;10.110500;-6.832309;-5.594424;8.026948;-6.524115;-5.470886;5.943615;-5.964970;-4.838324;4.010300;-5.624222;-4.066456;2.839852;-5.294160;-3.106198;1.814763;-4.717258;-2.096376;0.960779;-3.368119;-0.367655;0.336487;-1.883848;1.350152;0.125609;0.853740;1.159964;-0.956142;2.055734;0.554094;-0.412995;3.313555;0.017541;0.179971;4.640916;-0.679028;0.739534;5.993706;-1.595305;1.232368;7.367880;-2.501110;1.771125;8.604897;-3.271847;2.253423;-0.992979;3.312492;-2.206634;1.099082;2.715515;-1.859440;2.964401;2.266781;-1.246132;4.589781;1.661672;-0.905034;6.070194;0.874380;-0.728511;7.409678;-0.015613;-0.536745;8.654057;-0.866348;-0.307590;9.792514;-1.605005;-0.023201;10.964350;-2.200467;0.342290;-1.218868;4.607859;-2.987126;1.450678;4.335374;-2.342520;3.660924;3.901040;-1.849506;5.519971;3.295541;-1.741842;7.116793;2.531352;-1.850578;8.519489;1.744414;-1.854004;9.750927;1.014636;-1.739615;10.770460;0.389671;-1.532350;11.690901;-0.082240;-1.170041;-1.410461;6.161596;-3.584378;1.513058;5.919671;-2.756421;4.012001;5.544084;-2.250281;6.066906;4.987280;-2.323861;7.793214;4.334100;-2.573583;9.261791;3.655580;-2.773862;10.512429;3.029560;-2.790802;11.501850;2.478659;-2.654680;12.203640;1.984149;-2.388721;-1.765665;7.933082;-3.969321;1.242756;7.620390;-3.111215;3.974734;7.272580;-2.454032;6.235246;6.798762;-2.574400;8.093163;6.276867;-2.928863;9.656674;5.747923;-3.246766;10.972231;5.242236;-3.371000;11.984051;4.766765;-3.311152;12.582600;4.321381;-3.123289;-2.315744;9.795038;-4.352219;0.744788;9.424217;-3.404418;3.582101;9.087551;-2.534976;6.020668;8.722642;-2.501741;8.016106;8.371071;-2.933741;9.724613;8.029603;-3.301352;11.187840;7.672673;-3.503466;12.342930;7.297370;-3.474069;12.983940;6.929272;-3.334499;-3.029107;11.623489;-4.568717;0.035526;11.221800;-3.247610;2.890677;10.954430;-2.418551;5.425655;10.739020;-2.126181;7.587688;10.623240;-2.453056;9.488058;10.513580;-2.859525;11.196719;10.333580;-3.135100;12.676391;10.066110;-3.133929;13.514120;9.769510;-2.907217;-3.486725;13.156950;-5.154658;-0.952844;12.963459;-2.788356;1.920767;12.841200;-2.007050;4.460562;12.870491;-1.555711;6.800182;12.996040;-1.474941;8.951146;13.145241;-1.773478;10.984250;13.162210;-2.053389;12.923040;13.012859;-2.058818;14.181510;12.772631;-1.616816;-1.536437;14.473900;-3.193859;0.772772;14.790991;-1.527141;3.190030;15.213961;-0.746693;5.627870;15.526320;-0.207730;8.114009;15.851610;-0.140590;10.568670;16.140200;-0.372714;13.054871;16.231480;-0.560251
LBOAWK002;-12.419400;1.601538;13.894010;-13.481650;1.447211;11.965429;-13.582870;8.003923;7.666906;-8.367262;10.889191;-8.365372;-5.918043;-4.436074;-3.187061;4.076824;16.987780;-4.043728;11.260930;11.638900;0.784012;5.075877;-10.955110;-0.604134;9.176213;3.082372;9.193710;9.256027;-9.521235;14.228550;7.583367;-11.378401;0.294324;-13.509870;12.158960;6.549781;-13.649059;15.528279;4.097016;-14.274220;16.820721;0.520407;-14.557051;16.597250;-3.416861;-13.828050;15.176180;-6.851278;-12.129970;13.010799;-9.415545;-10.312149;11.679470;-9.536740;-7.584749;11.444170;-6.638805;-6.909471;12.329550;-4.835358;-4.887318;12.642380;-2.984931;-2.492589;12.955340;-1.680626;-0.113012;13.592590;-1.234259;2.142671;14.565969;-1.554859;3.055024;16.172920;-3.062815;8.273495;15.050059;-1.549164;10.704121;9.385929;-0.164046;9.071609;7.253695;-2.112715;8.747629;6.015550;-3.037251;8.571175;4.687080;-3.864881;8.402387;2.929644;-4.505270;8.264616;1.093956;-4.872997;8.112699;-1.124738;-4.978887;7.878070;-3.328359;-4.794400;7.485145;-5.192477;-4.381928;6.950340;-6.919118;-3.667594;5.994070;-8.988949;-2.225136;5.114833;-11.187460;-0.392804;5.314313;-11.371731;-0.196307;5.801319;-11.621980;0.072046;6.358958;-11.737961;0.255217;7.023849;-11.493720;0.205621;7.750568;-11.940880;0.873872;7.652590;-12.550960;1.543604;7.645661;-13.309040;2.963154;7.722890;-13.896970;4.453023;8.111147;-14.420759;6.110573;8.539478;-14.578331;7.798558;8.873068;-14.090480;9.996632;9.103321;-13.036920;11.976549;9.250001;-11.407740;13.248100;9.095019;-9.301298;14.291600;8.885372;-9.072915;14.295170;8.242224;-7.484668;14.517731;7.740193;-5.848565;14.619829;7.473689;-4.050556;14.404269;7.380629;-2.259057;14.000630;7.411172;-0.876593;13.652040;7.574219;0.356666;13.032800;7.812827;0.853871;12.083799;8.138736;1.238062;11.059660;8.691576;2.039813;9.800555;9.186656;3.141152;9.155344;9.225218;3.956334;10.056870;8.976037;4.612571;11.340229;8.544024;6.012365;12.362090;8.003981;7.537941;13.138209;7.438328;8.789587;13.586431;6.965706;10.123051;13.771980;6.912130;11.616540;13.625960;6.952530;13.080940;13.223990;6.770215;14.774031;12.557289;6.562107;16.327160;11.634491;6.392109;17.852819;10.221550;6.264756;19.131269;8.574044;6.213826;19.915939;7.058694;6.198387;20.443871;5.427732;6.218667;20.699600;3.922539;6.219155;20.733099;2.394007;6.151084;20.576260;0.778175;5.992302;20.190151;-0.785988;5.762877;19.622330;-2.026810;5.368394;18.834221;-3.078184;4.790929;17.953300;-3.727751;-9.414955;13.035780;-7.465175;-10.298080;15.039671;-6.113440;-10.923930;16.728621;-4.335743;-11.167040;18.131779;-2.036465;-11.115730;19.102610;0.530907;-11.089489;19.494860;3.206395;-11.175870;19.174459;5.381430;-11.279779;18.271080;7.447330;-11.396641;17.004780;9.298508;-11.520530;15.593290;10.641550;-11.650170;13.900011;11.669020;-11.747070;12.075740;12.429700;-11.756190;10.346140;12.751950;-11.730050;8.553725;12.783550;-11.773159;6.770837;12.878819;-12.008070;5.043291;13.202539;-12.311769;3.332749;13.588869;-12.106470;0.059828;14.014471;-11.599291;-1.462020;14.048719;-11.334360;-3.011679;14.086761;-11.554510;-4.511837;14.250320;-12.016840;-5.982283;14.415120;-12.429151;-7.435562;14.294180;-12.741011;-9.002536;13.774139;-12.987619;-10.476299;12.987241;-13.081389;-11.743589;11.920441;-12.947320;-13.021490;10.354780;-12.661270;-14.011559;8.596710;-12.354880;-14.503260;6.694369;-12.076790;-14.361010;4.582062;-11.805269;-13.703380;2.518830;-11.503700;-12.740730;0.589028;-11.382370;-11.827490;-0.557902;-11.246099;-10.657300;-1.486988;-10.770460;-9.467629;-2.147533;-9.363497;-7.690484;-2.775633;-7.698261;-6.014439;-3.080362;-4.577138;-5.244251;-2.892436;-3.239828;-6.178793;-2.697438;-1.881886;-7.087884;-2.462467;-0.493217;-7.891384;-2.116525;0.922137;-8.580822;-1.657215;2.346000;-9.219398;-1.150743;3.746062;-9.941980;-0.731913;-6.605448;-2.896171;-4.475791;-4.264013;-3.488958;-4.112532;-2.298355;-4.254467;-3.965826;-0.520971;-5.021011;-3.791945;1.051800;-5.751566;-3.542483;2.474525;-6.423151;-3.234501;3.796547;-7.080239;-2.965324;4.990733;-7.771562;-2.780536;6.313835;-8.450171;-2.737407;-6.664625;-1.040441;-5.388646;-3.961104;-1.580012;-5.005659;-1.616965;-2.244869;-4.848570;0.429839;-2.913751;-4.688680;2.176747;-3.564244;-4.498801;3.661021;-4.183914;-4.299203;4.926098;-4.789719;-4.151363;5.977915;-5.407323;-4.093780;7.026114;-5.980263;-4.133179;-6.686719;0.992521;-5.923235;-3.804398;0.429339;-5.562900;-1.234211;-0.160663;-5.333388;0.995271;-0.752032;-5.148925;2.881623;-1.329417;-4.985481;4.443112;-1.886858;-4.855907;5.706875;-2.429751;-4.792770;6.695354;-2.964254;-4.815742;7.446392;-3.470965;-4.897980;-6.997679;3.091608;-6.156120;-3.936154;2.526101;-5.751887;-1.221629;1.981150;-5.424876;1.145899;1.456755;-5.175087;3.166428;0.952916;-5.002522;4.839958;0.469633;-4.907178;6.166490;0.006905;-4.889057;7.146024;-0.435267;-4.948158;7.778558;-0.856882;-5.084482;-7.658258;5.173203;-6.242821;-4.443111;4.627100;-5.691015;-1.631538;4.143340;-5.164038;0.853952;3.698497;-4.776614;3.031161;3.282753;-4.549922;4.885062;2.894807;-4.455476;6.383535;2.539999;-4.448113;7.498667;2.221117;-4.510131;8.196702;1.918339;-4.691502;-8.464009;7.181178;-6.417815;-5.195324;6.684588;-5.526111;-2.430257;6.305843;-4.592338;0.120498;5.966139;-3.957233;2.475825;5.660096;-3.627684;4.596806;5.394182;-3.508254;6.410979;5.184067;-3.476827;7.887115;5.039409;-3.498968;8.845116;4.902023;-3.663999;-8.945290;9.086890;-6.994536;-6.039914;8.726305;-5.288034;-3.544841;8.479128;-3.720512;-1.041370;8.266975;-2.691318;1.500417;8.084944;-2.235807;3.976808;7.962571;-2.093053;6.231354;7.937500;-1.968701;8.254841;8.015095;-1.868000;9.838294;8.132459;-1.893079;-7.086648;10.846129;-4.479893;-5.137322;10.741900;-2.090014;-2.684624;10.628771;-0.840149;0.104938;10.557300;-0.374290;3.063694;10.576300;-0.336008;6.022807;10.732920;-0.368450;8.812275;11.072560;-0.114342
